id,empresa_id,proveedor_id,categoria_id,suministro,calificacion_actual,nota_actual,proxima_evaluacion
7855fc0d-047b-5dbf-88a9-e1bb3f182ad0,a6f1d8c3-6194-5804-ac16-a98cc205559d,656fa242-97ea-52c0-9087-d8367b6ed6c4,6bf4bdda-3739-51f4-be22-48b0e38ea47a,Principal - 4923 - TRANSPORTE DE CARGA POR CARRETERA,confiable,80.0,2025-10-30
91aeb1cd-c580-582f-8c81-99568da90e6c,a6f1d8c3-6194-5804-ac16-a98cc205559d,656fa242-97ea-52c0-9087-d8367b6ed6c4,a18fb552-93f5-58a4-be11-ce3e5274f443,TRANSPORTE DE CARGA POR CARRETERA,confiable,80.0,2025-05-03
d7a3920b-650b-5392-ae34-008dc7f40a96,a6f1d8c3-6194-5804-ac16-a98cc205559d,0b418601-c102-5e2f-834b-5ffa3bcc9689,27eab39b-d505-5d1f-85ff-615de00b8e9a,IMPRENTA,confiable,80.0,2026-05-25
ab21540c-76d2-5eed-a0ff-012e60d13cbb,a6f1d8c3-6194-5804-ac16-a98cc205559d,a01b0037-cabf-5154-b103-6f8d921ed097,27eab39b-d505-5d1f-85ff-615de00b8e9a,Principal - 4923 - TRANSPORTE DE CARGA POR CARRETERA,confiable,80.0,2026-04-28
09678db9-ae6e-5e2e-abd7-d2469d39d4f3,a6f1d8c3-6194-5804-ac16-a98cc205559d,a01b0037-cabf-5154-b103-6f8d921ed097,6bf4bdda-3739-51f4-be22-48b0e38ea47a,Principal - 4923 - TRANSPORTE DE CARGA POR CARRETERA,confiable,80.0,2025-10-30
ea2ff426-12c3-5ba6-8b15-2328c92ef6e1,a6f1d8c3-6194-5804-ac16-a98cc205559d,a01b0037-cabf-5154-b103-6f8d921ed097,a18fb552-93f5-58a4-be11-ce3e5274f443,TRANSPORTE DE CARGA POR CARRETERA,confiable,80.0,2025-05-03
8e803f65-af16-56ca-8101-9f4153ff3fe7,a6f1d8c3-6194-5804-ac16-a98cc205559d,cae787b4-30d8-5dfc-b540-ba0b9a4e2ca2,6bf4bdda-3739-51f4-be22-48b0e38ea47a,CALIBRACIONES,confiable,75.0,2026-03-17
178ad169-e394-5ef4-9878-5a1700e92f81,a6f1d8c3-6194-5804-ac16-a98cc205559d,4dc31e2d-01ef-5d41-bdbd-4267bf8516b0,27eab39b-d505-5d1f-85ff-615de00b8e9a,CERO VALVULVAS,confiable,80.0,2026-05-29
a00c17c7-7d30-5f44-adc1-1f41bcbad222,a6f1d8c3-6194-5804-ac16-a98cc205559d,bbace857-e8bc-58fd-afeb-ee98cad90261,27eab39b-d505-5d1f-85ff-615de00b8e9a,TRANSPORTE DE CARGA POR CARRETERA,confiable,75.0,2026-02-20
70b06dd1-60aa-5c83-8d7d-c96a6c80c963,a6f1d8c3-6194-5804-ac16-a98cc205559d,bbace857-e8bc-58fd-afeb-ee98cad90261,e49105b2-4b4c-557e-b55d-7a6d977c8a9c,TRANSPORTE DE CARGA POR CARRETERA,confiable,75.0,2025-08-24
261aa791-6863-5fae-beff-b22f0108609c,a6f1d8c3-6194-5804-ac16-a98cc205559d,97a9803d-1c96-52ec-aea6-cc20172bf985,27eab39b-d505-5d1f-85ff-615de00b8e9a,"DISTRIBUCION DE SUMINISTROS, PARTES Y PIEZAS DE COMPUTO",confiable,75.0,2025-11-26
3ee6e6a8-692d-5769-b502-dfe57334d06d,a6f1d8c3-6194-5804-ac16-a98cc205559d,ab803cff-e869-5a2e-8ac6-e5224abca05c,6bf4bdda-3739-51f4-be22-48b0e38ea47a,SUMINISTRO CONCRETO PREMEZCLADO,medianamente_confiable,35.0,2025-09-13
1a8a1302-9fd8-5631-9d27-81a05a56fa84,a6f1d8c3-6194-5804-ac16-a98cc205559d,ab803cff-e869-5a2e-8ac6-e5224abca05c,30a409fd-4ff6-5785-938b-4e571b760011,SUMINISTRO CONCRETO PREMEZCLADO,medianamente_confiable,60.0,2025-06-15
09df1401-923c-5c1c-a0fc-c8b984123aa4,a6f1d8c3-6194-5804-ac16-a98cc205559d,ab803cff-e869-5a2e-8ac6-e5224abca05c,86ccc685-a2fb-562e-9ac7-debfacbcf12a,SUMINISTRO CONCRETO PREMEZCLADO,medianamente_confiable,35.0,2026-03-12
52ea785a-7288-55a6-aeb3-edcdc76129ab,a6f1d8c3-6194-5804-ac16-a98cc205559d,f1350b8c-29e2-5b72-bcaa-ae190e5be92f,6bf4bdda-3739-51f4-be22-48b0e38ea47a,ENSAYOS Y ANALISIS TECNICOS,confiable,80.0,2026-03-18
